Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Contender Park City,Contender Salt Lake City,Contender Warehouse
open-mind-complete-bike-builder,OPEN MIND Complete Bike Builder,Color,Dark Blue,Size,M,,,210000111792,,,0,1,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Brown,Size,M,,,210000130666,,,0,1,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Brown,Size,L,,,210000130667,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Brown,Size,XS,,,210000130663,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Brown,Size,XL,,,210000130665,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Brown,Size,S,,,210000130664,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Orange,Size,M,,,210000118611,,,0,1,2
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Orange,Size,XS,,,210000104659,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Turquoise,Size,XS,,,210000106257,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Turquoise,Size,XL,,,210000105988,,,0,1,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Turquoise,Size,L,,,210000105990,,,0,1,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Turquoise,Size,S,,,210000105984,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Turquoise,Size,M,,,210000105986,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Grey Gloss/Matte,Size,L,,,210000103329,,,0,2,1
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Grey Gloss/Matte,Size,M,,,210000103327,,,0,0,3
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Grey Gloss/Matte,Size,XL,,,210000103437,,,0,1,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Ready To Paint,Size,XL,,,210000112191,,,0,0,1
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Ready To Paint,Size,L,,,210000108359,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Orange,Size,S,,,210000109607,,,0,0,0
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Orange,Size,L,,,210000104705,,,0,1,2
open-wide-custom-builder,OPEN WIDE Complete Bike Builder,Color,Grey Gloss/Matte,Size,S,,,210000103435,,,0,0,0
